AppID,Calories_Burned,Steps,Distance,Floors,Mins_Sedentary,Mins_Lightly_Active,Mins_Fairly_Active,Mins_Very_Active,Activity_Calories,velocity,accuracy
6or740531ckA78I0,39,822,5,4,23,45,9,57,272,22,72
l4a04EDUB55q3e4V,124,1949,10,7,9,32,51,53,489,51,14
lab48q7q356Mlt6y,460,1276,9,4,11,27,27,9,448,11,75
DvP602403q6yQ3Rt,235,1757,4,2,17,49,34,54,220,33,67
UMSk34377r54n10T,183,268,9,5,54,54,49,19,395,21,72
ena83e3837444610,196,328,4,4,22,37,41,16,414,26,30
6367B7hU7W70FOr8,153,536,1,9,25,29,35,22,9,42,88
J534760O4Np4V843,98,1285,1,1,36,32,31,56,330,36,25
y04l421n1xbkh0l6,428,1150,1,10,6,22,56,19,257,4,21
701Jh0O706Q5N20w,43,1666,8,4,36,43,25,28,459,36,76
20S4X5247oJ3376R,411,1989,9,7,38,7,39,35,492,30,90
48ev1JuQJ8mcC307,200,1339,10,9,19,60,52,36,132,13,33
4053q67388J6j0lH,170,727,2,9,36,51,47,21,359,52,14
63E27J084378a5J6,486,1736,4,4,36,13,37,53,278,42,17
083p403B6436kwF4,287,1460,7,8,45,59,13,46,261,54,82
3TfE386067e4j8cx,241,1594,9,2,57,14,1,38,343,57,11
KYP4MQ68x32iRNnQ,96,1342,5,6,18,8,45,32,88,12,75
7XC2H81K7s181Uu4,231,1834,6,4,11,60,39,5,299,1,11
Q88Sw7pPv8GAB260,29,781,3,3,37,2,36,30,459,6,77
L0b2WP3y786USqYd,155,704,4,3,60,2,23,55,35,33,32
F882T18Q2Me0qO5t,33,1775,8,1,49,3,60,42,185,54,22
6Yi276B346n43N84,167,1090,1,7,48,49,45,12,200,2,27
vv40XpGl40a3QkBB,434,1761,7,1,40,52,40,39,355,36,16
e03BQaRm646AghWW,131,1671,9,10,12,12,26,16,165,14,87
387jpG6cG23d010B,159,833,5,5,60,13,41,57,474,25,23
1U281Y37r8EqQ6Br,387,1345,6,10,6,22,25,13,261,38,14
04hS4820vD36m4R3,214,1142,5,7,25,29,49,10,49,1,60
525Nh278C1gq650C,303,1677,8,2,57,34,60,5,485,11,47
4v2P2FfEo0S1m20K,67,1215,6,5,2,49,26,39,175,43,86
Pw742tAJrd3t7w55,49,160,8,6,3,45,47,40,241,32,87
P5450bNA2j77Y5Vf,147,268,8,1,57,25,59,57,81,16,26
GM5666o4I137nc46,204,292,1,5,21,42,4,24,438,8,59
pyIHjR408qj861iV,430,197,10,2,58,42,9,24,187,48,60
gTMhG7O48riXYk7a,52,55,4,4,45,43,26,41,281,19,78
5Hi8064QCp67ks7A,129,1645,10,1,42,45,26,43,189,27,29
028273qeii326dM1,318,699,1,4,49,18,19,42,273,1,31
cW5C5KI50d5imDgc,494,453,4,9,53,46,28,23,259,51,57
E3Pw8ckJwXqXS665,385,24,9,6,33,24,30,46,25,43,13
f2T4j3P60OAINc88,361,1000,1,5,15,14,8,42,485,3,15
V0T1AmxE0522Kdo1,497,274,8,10,29,40,44,46,304,6,56
5Vt66Wcv61X182j5,412,1030,4,10,59,10,14,12,38,55,25
8R851YWSUFJIuc01,289,1787,8,5,26,47,55,58,304,27,86
k36KeN5e3T243o43,219,1634,5,2,41,32,3,55,235,13,90
41S7C4hJTA6MA7Jj,181,1776,5,2,1,25,19,28,369,42,69
K430waN0ID2C3O55,49,1157,1,7,31,5,58,7,379,26,37
72X763D04p5601gl,20,2,5,4,59,5,7,5,267,47,76
t7r32672fay8O466,463,1742,4,1,37,19,6,24,493,38,52
3A05517SdB252Y6O,462,1730,7,1,43,12,31,45,349,29,12
t22Va5334J35Q8uQ,73,235,1,6,57,50,26,41,349,28,59
8PvRDmWe767J12Ro,305,638,2,3,9,14,38,26,315,34,39
W4a5rJu225tK1o88,471,1139,10,6,9,15,29,58,385,57,35
Dyj3308uw5Ph30OJ,144,1569,1,7,25,55,50,5,5,22,52
K20C3IbJuL2yi0e8,55,873,9,8,38,36,46,48,24,34,53
St7715NSlHFH6485,183,415,9,9,46,40,35,46,246,30,39
481jRS34F2720XOp,282,1802,8,1,6,13,4,19,258,59,14
78RK6A36c57P03A1,36,87,6,4,49,56,51,2,232,40,77
X731wu75612v1144,404,1766,1,9,42,42,50,52,315,27,65
2r26n2h8t4518QV3,219,1926,6,3,28,48,33,42,180,1,19
4xNXXI004U10LrT1,328,1800,9,5,8,50,59,33,51,57,35
141540r7Sc05L7y7,72,443,10,9,9,27,29,9,340,30,87
7eXyTq487llvg16F,49,1223,6,4,49,48,10,36,374,51,30
6558q5L38aQr4211,14,575,4,10,14,1,36,6,332,30,19
2NiCS41gn5a2bl3O,268,1475,6,7,52,13,9,2,181,58,25
22G60Q327K7Fo6a5,258,1289,2,10,26,3,41,16,232,20,63
0UpnaVU4WcU47g4e,410,866,6,4,32,38,17,38,275,58,64
2633CQNibe1DQD2X,286,1681,4,8,23,49,53,38,380,7,20
Dv3a05m1pqK2vl50,395,524,2,5,30,49,9,42,208,56,73
806NPU7UD75F73rc,424,1707,9,3,37,54,60,50,67,37,46
26d3OR46250PH86C,377,1799,6,2,15,14,55,34,9,58,75
17t7L0av7230C054,111,1031,5,1,2,59,30,39,276,6,27
DHiO0UBvt7D57Hm5,409,1695,3,9,44,22,39,25,263,39,89
u6sEI63qy25cbYL1,130,1700,7,9,26,39,31,4,87,22,49
L54P50828g5Ef2jq,374,1788,2,4,36,41,13,14,272,31,73
772l71ENk03n1Ef0,71,1029,10,4,49,47,41,38,240,35,60
U8T67Vm0U7yJ052G,197,665,9,5,53,35,56,38,474,10,31
23JkDX50dnCAA8x5,97,430,5,3,53,42,26,29,83,20,75
85338j47s2VJxs12,481,1392,7,7,51,58,29,38,381,46,21
3H8Qe642t71vB82Q,304,563,8,5,48,1,5,33,64,16,25
1Rma8C5Tmw6856b0,181,156,10,7,10,59,36,34,306,21,20
2w28f17hPmpe6f2H,473,1559,2,8,9,18,31,1,395,51,61
PaK610brHRNAh113,497,999,6,7,39,4,23,37,467,57,73
52HmhnHMw31aV6LT,33,1806,4,3,51,54,33,25,469,60,44
7PD5685R7401knJ5,182,1663,4,10,58,1,58,23,71,6,89
55L8g8vJtBB652gQ,172,109,10,10,38,53,56,10,390,16,46
1f7SYL60UbtgDIbb,339,850,5,8,9,33,49,42,415,35,23
p66N0KxbsgO022M3,126,1815,5,1,35,57,20,13,341,16,15
k2v56p75j5p02071,239,1098,5,6,58,4,47,54,485,32,88
o3HNbO1xk61L8l0w,42,1045,4,2,47,27,23,51,302,48,87
sW77M54L1f4Mi48t,45,336,1,1,43,46,34,20,367,1,89
37NJ67pL2AS06N51,385,422,4,3,56,18,21,46,493,44,44
cvbvMr4553j86867,27,93,6,8,36,31,48,11,33,53,88
2tOK24J15yPcwDf6,201,700,9,4,14,39,57,29,173,14,42
AJ0Qvt4H50635v74,461,1749,1,6,10,37,5,48,460,14,23
33c1oaT7Q4P410V7,274,170,5,8,29,53,27,32,272,32,47
I1H38QC2c67P5m3D,488,1719,8,5,10,54,49,3,450,52,18
1gP80177o85Q7N2E,21,1663,6,1,35,30,5,27,419,10,19
7Od3827R42Ei65xp,459,96,7,4,19,11,21,30,262,21,21
gUAtb7W3NE4K7Q8c,389,379,2,10,15,56,1,41,467,21,23
k44002L24e06W8nP,369,182,10,1,18,49,21,39,63,43,52
V2Q0y254t43CnB4M,313,393,1,6,47,32,41,40,443,20,63
